X,Y,OBJECTID,ASSETID,TREEID,ASSETCODE,OWNER,INSTYR,INSTYRCONF,MAT,MATCONF,LOCGEN,HRMINTRST,WIRES,SP_SCIEN,SP_COMM,DBH,SIZE2UNIT,SIZE2CONF,ASSETSTAT,INSTDATE,LOCATION,MAINTBY,FCODE,ADDDATE,MODDATE,SDATE,SOURCE,SACC
-63.5726171709999,44.6387967950001,9559561,TRE129852,TRE129852,TRE,HRM,,,WOOD,1,ROW,Y,Y,AECA,AECA,6,MM,2,INS,,TOBIN ST FROM BARRINGTON ST TO QUEEN ST,HRM,LCTS,2020/06/10 19:15:55+00,2020/06/10 19:15:55+00,2020/01/15 03:59:59+00,TPW,XY
-63.5875732389999,44.641028959,9559562,TRE130619,TRE130619,TRE,HRM,,,WOOD,1,ROW,Y,Y,QURU,QURU,6,MM,2,INS,,BLISS ST FROM ROBIE ST TO EDWARD ST,HRM,LCTS,2020/06/10 19:15:55+00,2020/06/10 19:15:55+00,2020/01/15 03:59:59+00,TPW,XY
-63.5745782939999,44.6349084440001,9559563,TRE131515,TRE131515,TRE,HRM,,,WOOD,1,ROW,Y,Y,ACPL,ACPL,4,MM,2,INS,,LUCKNOW ST FROM INGLIS ST TO RHULAND ST,HRM,LCTS,2020/06/10 19:15:55+00,2020/06/10 19:15:55+00,2020/01/15 03:59:59+00,TPW,XY
-63.593480475,44.6329006510001,9559564,TRE131757,TRE131757,TRE,HRM,,,WOOD,1,ROW,Y,N,CEOC,CEOC,2,MM,2,INS,,BEAUFORT AVE FROM DALHOUSIE ST TO OXFORD ST,HRM,LCTS,2020/06/10 19:15:55+00,2020/06/10 19:15:55+00,2020/01/15 03:59:59+00,TPW,XY
-63.5780840319999,44.635127504,9559565,TRE131685,TRE131685,TRE,HRM,,,WOOD,1,ROW,Y,Y,ULAM,ULAM,5,MM,2,INS,,TOWER RD FROM INGLIS ST TO VICTORIA RD,HRM,LCTS,2020/06/10 19:15:55+00,2020/06/10 19:15:55+00,2020/01/15 03:59:59+00,TPW,XY
-63.5847247689999,44.630761707,9559566,TRE131212,TRE131212,TRE,HRM,,,WOOD,1,ROW,Y,N,TI,TI,2,MM,2,INS,,GREENWOOD AVE FROM ROXTON RD TO INGLIS ST,HRM,LCTS,2020/06/10 19:15:55+00,2020/06/10 19:15:55+00,2020/01/15 03:59:59+00,TPW,XY
-63.5722452759999,44.6354228600001,9559567,TRE131657,TRE131657,TRE,HRM,,,WOOD,1,ROW,Y,Y,ACPL,ACPL,3,MM,2,INS,,INGLIS ST FROM MITCHELL ST TO SOUTH BLAND ST,HRM,LCTS,2020/06/10 19:15:55+00,2020/06/10 19:15:55+00,2020/01/15 03:59:59+00,TPW,XY
-63.577743031,44.6296449210001,9559568,TRE130944,TRE130944,TRE,HRM,,,WOOD,1,ROW,Y,N,ACPL,ACPL,4,MM,2,INS,,ROGERS DR FROM TOWER RD TO BOWER RD,HRM,LCTS,2020/06/10 19:15:55+00,2020/06/10 19:15:55+00,2020/01/15 03:59:59+00,TPW,XY
-63.576830034,44.6311602650001,9559569,TRE130920,TRE130920,TRE,HRM,,,WOOD,1,ROW,Y,N,ACPL,ACPL,5,MM,2,INS,,BRIDGES ST FROM HARRINGTON DR TO ATLANTIC ST,HRM,LCTS,2020/06/10 19:15:55+00,2020/06/10 19:15:55+00,2020/01/15 03:59:59+00,TPW,XY
-63.582143651,44.630388839,9559570,TRE131381,TRE131381,TRE,HRM,,,WOOD,1,ROW,Y,N,ACPL,ACPL,3,MM,2,INS,,ROBIE ST AT ROXTON RD,HRM,LCTS,2020/06/10 19:15:55+00,2020/06/10 19:15:55+00,2020/01/15 03:59:59+00,TPW,XY
-63.586247317,44.635100649,9559571,TRE131308,TRE131308,TRE,HRM,,,WOOD,1,ROW,Y,N,ACRU,ACRU,5,MM,2,INS,,FRASER ST FROM DAVIS ST TO WATERLOO ST,HRM,LCTS,2020/06/10 19:15:55+00,2020/06/10 19:15:55+00,2020/01/15 03:59:59+00,TPW,XY
-63.5848649819999,44.631433739,9559572,TRE131194,TRE131194,TRE,HRM,,,WOOD,1,ROW,Y,Y,ULS,ULS,5,MM,2,INS,,GREENWOOD AVE FROM ROXTON RD TO INGLIS ST,HRM,LCTS,2020/06/10 19:15:55+00,2020/06/10 19:15:55+00,2020/01/15 03:59:59+00,TPW,XY
