CMANAME,date,count,mean,median,max,min,stdDev
Calgary,2024-06-14T18:35:15,1206,2.614315779936273E-5,2.5041403430317523E-5,3.673231185536916E-5,6.990236670381461E-6,7.509948389423858E-6
Ottawa,2024-06-14T18:35:15,16,1.2592528686567816E-5,1.1514209290906895E-5,1.6370171579181246E-5,1.1514209128415453E-5,2.1511889099628106E-6
Toronto,2024-06-14T18:35:15,332,3.574808966207373E-5,3.648778874776379E-5,4.369600370050564E-5,2.599006919436835E-5,5.526004959169239E-6
Winnipeg,2024-06-14T18:35:15,150,3.2326460678088465E-5,3.704379928524653E-5,4.257219552532363E-5,1.1647268948002228E-5,9.672477423889373E-6
Calgary,2024-06-14T20:16:45,74,2.6237557910939635E-5,2.6518858351134987E-5,3.585933279774333E-5,1.2191441783200951E-5,8.761619845244643E-6
Montreal,2024-06-15T16:34:44,459,1.6798625046754962E-5,1.3010088852188528E-5,3.1510048769053576E-5,6.303851023401029E-6,6.840050493421475E-6
Ottawa,2024-06-15T16:34:44,3546,1.2549618636329333E-5,1.2765000284162465E-5,2.6296316718825313E-5,-6.0631577980571665E-6,6.024080497447091E-6
Toronto,2024-06-15T16:34:44,799,4.96180128262045E-5,5.214954269892872E-5,7.342367462120409E-5,2.7143396437156644E-6,1.4817256743398487E-5
Montreal,2024-06-15T18:16:14,459,2.95911947986726E-5,3.1739302582624635E-5,4.1473576857284136E-5,8.416403943552802E-6,8.8499641393374E-6
Ottawa,2024-06-15T18:16:14,3546,1.4190829147034026E-5,1.4227933042678526E-5,2.854160464583317E-5,-4.938644906363818E-6,5.424543389976124E-6
Toronto,2024-06-15T18:16:14,799,5.0881444227210006E-5,5.0561296694488015E-5,7.179181557153631E-5,2.9828643164352007E-5,1.1387789284357927E-5
Winnipeg,2024-06-15T18:16:14,795,2.3838296647895668E-5,2.415217345885266E-5,3.666218981383303E-5,1.259095006389011E-5,5.763875955886337E-6
Vancouver,2024-06-15T19:57:45,42,1.7088392104211435E-5,1.7329466572851273E-5,2.319428799821867E-5,1.2706524911873274E-5,2.2137859468165715E-6
Vancouver,2024-06-15T21:39:14,65,2.8977047538756877E-5,3.17686317430181E-5,3.176863174309146E-5,1.5085306586097185E-5,5.154260998072204E-6
Halifax,2024-06-16T16:15:44,1430,5.270914733799078E-6,3.918263123711461E-6,3.428574927968467E-5,-1.5641107893320575E-5,8.070696409577455E-6
Montreal,2024-06-16T16:15:44,341,5.9892412435079384E-5,6.11056941168836E-5,7.237826503122001E-5,3.511516165756734E-5,1.1502335538204871E-5
Montreal,2024-06-16T17:57:13,240,3.4705932544637906E-5,2.984898366818448E-5,6.12912481302076E-5,1.1151060775716093E-5,1.415832125549755E-5
Toronto,2024-06-16T17:57:13,799,4.381030596843675E-5,4.1792080935895365E-5,7.698156696283894E-5,3.0389024686870353E-5,1.1025819264761856E-5
Winnipeg,2024-06-16T17:57:13,795,1.4383647189272315E-5,1.4259816867898315E-5,2.897260674218084E-5,3.6754806842479194E-6,7.550366571994265E-6
Winnipeg,2024-06-16T19:38:44,795,1.8417812205370295E-5,1.892030512608301E-5,3.0759783840070455E-5,1.903811380542064E-6,7.193654572611163E-6
Halifax,2024-06-17T15:56:43,1190,1.9401465852355714E-5,1.9983300737315207E-5,4.0240687667419855E-5,-1.1015872190507016E-5,1.1273930478983172E-5
Halifax,2024-06-17T17:38:12,728,1.4720947383302004E-5,1.4177937758792787E-5,3.0140507078643245E-5,-7.050364729371112E-6,7.198747248414758E-6
Montreal,2024-06-17T17:38:12,459,5.86391085585407E-5,5.813643601961875E-5,8.047853043541256E-5,4.129420995010392E-5,8.751826353376138E-6
Ottawa,2024-06-17T17:38:12,3546,3.470525117745651E-5,3.450733691891207E-5,5.763220906378007E-5,1.5006356989033173E-5,7.527231716331676E-6
Toronto,2024-06-17T17:38:12,787,5.938707468511606E-5,5.5588884897550374E-5,1.0560781083775494E-4,2.4789611416043475E-5,1.752800404214576E-5
Winnipeg,2024-06-17T17:38:12,754,2.1993348625229086E-5,1.9092085161616467E-5,3.243605169702689E-5,1.0207818377230768E-5,6.865207613212165E-6
Winnipeg,2024-06-17T19:19:43,544,2.8517710417135406E-5,2.6656898659921784E-5,4.2450108594523126E-5,9.973187765756044E-6,7.020613245797642E-6
Halifax,2024-06-18T15:37:41,1168,2.2714855757786007E-5,2.5227881479497597E-5,3.608108818300686E-5,3.2360363792718755E-6,8.094812219535002E-6
Halifax,2024-06-18T17:19:12,1388,2.426642378719203E-5,2.3449707220115497E-5,4.0243477997148814E-5,1.2758602679230956E-5,6.468241971511353E-6
Montreal,2024-06-18T17:19:12,444,4.146160081164739E-5,4.057195942560579E-5,6.097416189736222E-5,2.638755358929916E-5,7.9220846817908E-6
Ottawa,2024-06-18T17:19:12,3276,2.7431116638860668E-5,2.7535962138590014E-5,4.660560504117717E-5,8.669275302962826E-6,6.9959998408403235E-6
Toronto,2024-06-18T17:19:12,799,5.068102792230156E-5,4.757780367346913E-5,1.1532918683290507E-4,2.2342126612765967E-5,1.7208676071144314E-5
Calgary,2024-06-18T20:42:12,369,5.071864235611872E-5,5.263269223689884E-5,7.917669494239596E-5,2.3946527234162705E-5,1.816801993281844E-5
Vancouver,2024-06-18T20:42:12,145,8.322445791394591E-5,8.61476636948856E-5,9.276436321686866E-5,3.8859546386166856E-5,1.1734771806904052E-5
Halifax,2024-06-19T15:18:40,770,3.218566393567103E-5,3.145737250916928E-5,4.90897473355627E-5,1.50925490043237E-5,8.108714967827981E-6
Halifax,2024-06-19T17:00:10,1430,2.5209780894112217E-5,2.4496934660785946E-5,4.640208862841525E-5,8.266403710870259E-6,6.691672025506367E-6
Montreal,2024-06-19T17:00:10,29,3.668050925833902E-5,3.7803223676730726E-5,3.78032236767727E-5,2.631777126345348E-5,2.808051787728945E-6
Ottawa,2024-06-19T17:00:10,1139,1.8509916996604537E-5,1.888938581256563E-5,3.2863339583877714E-5,-5.358031671681493E-7,7.764125775094807E-6
Toronto,2024-06-19T17:00:10,56,1.0530438662730104E-4,1.0320271394443991E-4,1.3837482536347548E-4,6.237831257746712E-5,1.633314334607473E-5
Toronto,2024-06-19T18:41:41,442,6.654357454244777E-5,6.719948690058034E-5,9.572943235986928E-5,4.664796870201304E-5,7.3822285036466664E-6
Winnipeg,2024-06-19T18:41:41,795,6.8484953437418665E-6,7.325554277792104E-6,2.4723145543255508E-5,-8.880751920520845E-6,7.3311597116341095E-6
Vancouver,2024-06-19T20:23:11,196,4.7162209085217015E-5,4.453448113785513E-5,8.469926251560593E-5,2.1019417545135487E-5,1.1735740653514299E-5
Halifax,2024-06-20T16:41:09,1368,2.0524569415312263E-5,2.086827753040677E-5,4.110845475227604E-5,-6.696242053299158E-6,9.86757959057608E-6
Calgary,2024-06-20T18:22:39,635,2.6733313285719408E-5,2.642629679060027E-5,5.4633870604546236E-5,-8.774840694074868E-7,1.305324278446855E-5
Toronto,2024-06-20T18:22:39,301,5.6220940842250564E-5,5.723117644646043E-5,7.026341099345871E-5,4.0233597246696244E-5,7.300067766953856E-6
Winnipeg,2024-06-20T18:22:39,795,1.656696659039692E-5,1.7707281137008396E-5,3.253963816546161E-5,-4.159675881963327E-6,6.124922629735782E-6
Calgary,2024-06-20T20:04:09,80,3.515541254631238E-5,3.4364893514985015E-5,4.3154779078537876E-5,2.542281962221684E-5,4.488531977074152E-6
Vancouver,2024-06-20T20:04:09,196,4.0655577347178396E-5,4.463217419891271E-5,7.008317334124378E-5,7.903215191608414E-6,1.6201855311644097E-5
Halifax,2024-06-21T16:22:08,1430,2.751718039938415E-5,2.9019226110770564E-5,5.95106466790139E-5,1.3629905026835035E-7,1.1771432651964832E-5
Toronto,2024-06-21T18:03:38,27,2.046528134115331E-5,1.7131185813935144E-5,6.36688637314095E-5,1.7131185627094905E-5,1.0541516379489982E-5
Winnipeg,2024-06-21T18:03:38,45,4.162001361903605E-5,5.6586613936791484E-5,5.971444947613119E-5,7.7243884443987E-6,1.9284615772930984E-5
Calgary,2024-06-21T19:45:07,1218,2.9310587226694055E-5,3.0423904244493712E-5,4.6880697482312336E-5,7.277424629123321E-6,8.074755571937415E-6
Vancouver,2024-06-21T19:45:07,196,9.753158703742137E-5,9.752463665791647E-5,1.377262669850754E-4,5.144765600552152E-5,2.8953824346311165E-5
Toronto,2024-06-22T17:44:37,192,4.7561412760358425E-5,4.5994645915925117E-5,7.165084312459888E-5,3.060693779842565E-5,1.126923430559801E-5
Winnipeg,2024-06-22T17:44:37,773,2.7980971180419284E-5,2.7593095229759606E-5,3.598925104601176E-5,1.9710462289781318E-5,3.5291173545816735E-6
Calgary,2024-06-22T19:26:07,1250,6.039736403911513E-5,5.2733487397906606E-5,1.1149590136503354E-4,1.75607568680214E-5,2.3266789447715848E-5
Ottawa,2024-06-23T17:25:36,290,3.305676541991115E-5,3.237598953413766E-5,4.66970195703209E-5,1.6562720702488423E-5,7.382476983789492E-6
Toronto,2024-06-23T17:25:36,108,3.166010923885818E-5,2.9026196686089575E-5,5.6224511354268996E-5,2.5314812529729726E-5,9.518096035113461E-6
Calgary,2024-06-23T19:07:05,584,2.0677401638372556E-5,2.025012407647493E-5,3.080470212516043E-5,5.612275799654672E-6,5.627970638545127E-6
Winnipeg,2024-06-23T19:07:05,396,1.9240778784374312E-5,2.055641714675636E-5,2.5563642338983594E-5,3.988943262808237E-6,4.953818377557404E-6
Calgary,2024-06-23T20:48:35,1067,1.998628489179647E-5,2.0690843924037264E-5,3.7116759812234894E-5,7.029967491681637E-6,4.645805276532469E-6
Ottawa,2024-06-24T17:06:33,3433,9.576142776467652E-6,8.69640598039258E-6,2.9693510441604842E-5,-1.0799416461982302E-5,7.838801038037839E-6
Toronto,2024-06-24T17:06:33,781,2.146499215589868E-5,2.213941721302122E-5,3.8326266803805054E-5,-9.117518970920865E-7,9.008164773995506E-6
Calgary,2024-06-24T18:48:04,728,2.252764577739737E-5,2.3259390618679802E-5,3.388868935877961E-5,1.4461017458321462E-6,5.930167930595049E-6
Toronto,2024-06-24T18:48:04,203,3.874712218703358E-5,3.572207985947801E-5,5.103892307220566E-5,2.8261663828731672E-5,7.693447571202638E-6
Winnipeg,2024-06-24T18:48:04,721,2.6619970356622206E-5,2.6813423921092798E-5,3.9185793866619664E-5,4.54389828519005E-6,7.623058283121059E-6
Calgary,2024-06-24T20:29:33,1112,2.2154629033393815E-5,2.2264452821311886E-5,3.557771560742396E-5,5.187935130373288E-6,6.238001276909126E-6
Vancouver,2024-06-24T20:29:33,5,8.772847028517453E-5,1.1735495354500226E-4,1.1735495354509606E-4,3.711125100379172E-5,3.3315072303122936E-5
Montreal,2024-06-25T16:47:31,459,5.222866102116929E-5,5.1432479708248234E-5,7.05463535268994E-5,3.530541472504485E-5,6.868847465883366E-6
Ottawa,2024-06-25T16:47:31,191,5.729366612652809E-5,5.437457926407106E-5,8.683187387181728E-5,4.916249235973477E-5,5.508914116320531E-6
Calgary,2024-06-25T20:10:32,685,3.737691462527718E-5,3.4782432463354265E-5,7.716369873392297E-5,1.669929042689324E-5,1.091981061675725E-5
Vancouver,2024-06-25T20:10:32,196,4.544928239163088E-5,4.924107938308704E-5,7.539917714907372E-5,4.185867962815782E-6,1.6270547134523894E-5
Halifax,2024-06-26T16:28:30,1430,1.6622089685910802E-5,1.6986972805811166E-5,4.578738298735935E-5,-1.625259210414905E-5,1.2486395496573649E-5
Winnipeg,2024-06-26T18:09:59,30,8.311327820341547E-6,8.351767064592529E-6,1.2074142606608481E-5,7.462395696516307E-6,9.30217389984397E-7
Calgary,2024-06-26T19:51:29,138,2.9469574038001007E-5,2.9209467470872875E-5,4.461431843076021E-5,1.2534932466218535E-5,6.7457617539395225E-6
Winnipeg,2024-06-26T19:51:29,9,2.6084745632936016E-5,2.5186949642392425E-5,2.8654197167225106E-5,2.5186949642354397E-5,1.3386857328231893E-6
Ottawa,2024-06-27T16:09:27,272,1.1223450658073322E-5,1.2666511750704904E-5,1.6370129624734677E-5,1.6409586187680963E-6,4.581346145145578E-6
Ottawa,2024-06-27T17:50:57,434,1.2284253710967589E-5,1.1518635606141345E-5,2.5694947908068043E-5,2.8615158128731265E-6,5.200525479403676E-6
Toronto,2024-06-27T17:50:57,486,3.648281720611454E-5,3.5327976679866264E-5,5.271709776399813E-5,2.0158096313351628E-5,9.747783700914048E-6
Halifax,2024-06-28T15:50:25,774,1.2242364571681342E-5,1.2298059453014541E-5,2.2075395463638627E-5,-3.3155570235999277E-6,5.608467892240366E-6
Montreal,2024-06-28T17:31:54,441,5.437920140537762E-5,5.443962859721779E-5,8.357033220818074E-5,2.766192665149788E-5,1.3236396308920007E-5
Ottawa,2024-06-28T17:31:54,3546,2.4524419556240276E-5,2.4468263293210642E-5,4.791549872610287E-5,2.6095056000474747E-6,8.025379231298367E-6
Calgary,2024-06-28T19:13:24,974,1.721069114776116E-5,1.6818153438065033E-5,3.174330049665763E-5,-2.8277256660709002E-6,8.081180590019903E-6
Vancouver,2024-06-28T20:54:55,154,9.334745033171674E-5,8.330672980450144E-5,1.2665431131631552E-4,5.125341340311127E-5,2.1885887496370487E-5
