CMANAME,date,count,mean,median,max,min,stdDev
Winnipeg,2024-07-18T19:38:13,243,2.0100656405671393E-4,-3.88968351711133E-4,0.001619515009225528,-5.318364128474077E-4,8.635999418365026E-4
Halifax,2024-07-19T15:56:08,945,3.9205363757726816E-5,-9.608863181893326E-6,6.711106980226183E-4,-5.694075371142665E-4,2.81615202885033E-4
Halifax,2024-07-19T17:37:38,831,5.126697510270488E-4,3.955846489926055E-4,0.002220480469988323,-8.142112444178901E-4,8.761953225842775E-4
Montreal,2024-07-19T17:37:38,308,7.85002958310446E-5,1.343628683530423E-4,9.614367736510091E-4,-5.342108197513915E-4,4.269187311111317E-4
Ottawa,2024-07-19T17:37:38,1233,1.0796389878609741E-4,6.746931286980682E-5,0.0013887948589409004,-9.694127948030043E-4,5.027278948805826E-4
Toronto,2024-07-19T17:37:38,422,-3.802030971704274E-5,-5.818326925936379E-5,8.981866153897847E-4,-6.759131210860787E-4,4.1674511471844584E-4
Calgary,2024-07-19T19:19:07,290,-1.2329979540833726E-4,-1.428738593657628E-4,2.851858153013051E-4,-4.925700339831783E-4,1.9832016307832822E-4
Vancouver,2024-07-19T19:19:07,76,-6.039969864107021E-4,-6.416944665828055E-4,0.0014099532288898522,-6.416944962938366E-4,3.2915996194168856E-4
Vancouver,2024-07-19T21:00:37,89,0.0014963860083034514,0.0022119421119502903,0.002211942210594336,-8.096974077208306E-4,0.0010127002601988532
Halifax,2024-07-20T15:37:04,1062,1.694548830622869E-5,1.0527485864213927E-5,0.0013843148481110315,-8.755651069813767E-4,5.610866210151216E-4
Halifax,2024-07-20T17:18:33,1166,4.9723612920984316E-5,-5.2715338560872465E-5,0.0013268834445634666,-8.227092912426286E-4,4.960943922632823E-4
Montreal,2024-07-20T17:18:33,115,-8.766958927845462E-5,-9.504001872388183E-5,9.530056850052303E-4,-6.469809178343176E-4,3.8684707290723684E-4
Ottawa,2024-07-20T17:18:33,588,-1.2990628989992187E-5,-1.4464204640178996E-5,7.870676445904094E-4,-7.021564110532092E-4,3.6535583337438403E-4
Toronto,2024-07-20T17:18:33,125,-1.6758379368097143E-4,-1.1096396401854751E-5,8.930698474017376E-4,-7.987384451558716E-4,4.779146445983209E-4
Calgary,2024-07-20T19:00:02,2,-2.4895272201704455E-4,-2.4200070763755725E-4,-2.4200070763755725E-4,-2.6804758817936984E-4,1.3023440270906326E-5
